"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Forsyth County, NC"	"37067"	76	376320	20.2	0.2%
	"Franklin County, NC"	"37069"	10	66168	Unreliable	0.0%
	"Gaston County, NC"	"37071"	48	220182	21.8	0.1%
	"Granville County, NC"	"37077"	11	59557	Unreliable	0.0%
	"Guilford County, NC"	"37081"	98	526953	18.6	0.2%
	"Harnett County, NC"	"37085"	31	132754	23.4	0.1%
	"Haywood County, NC"	"37087"	16	61084	Unreliable	0.0%
	"Henderson County, NC"	"37089"	25	115708	21.6	0.1%
	"Iredell County, NC"	"37097"	28	175711	15.9	0.1%
	"Johnston County, NC"	"37101"	31	196708	15.8	0.1%
	"Lee County, NC"	"37105"	18	60430	Unreliable	0.0%
	"Lenoir County, NC"	"37107"	13	56883	Unreliable	0.0%
	"McDowell County, NC"	"37111"	11	45159	Unreliable	0.0%
	"Mecklenburg County, NC"	"37119"	161	1076837	15.0	0.3%
	"Moore County, NC"	"37125"	10	97264	Unreliable	0.0%
	"New Hanover County, NC"	"37129"	73	227198	32.1	0.2%
	"Onslow County, NC"	"37133"	28	193893	14.4	0.1%
	"Pender County, NC"	"37141"	14	60958	Unreliable	0.0%
	"Pitt County, NC"	"37147"	42	179042	23.5	0.1%
	"Randolph County, NC"	"37151"	48	143282	33.5	0.1%
	"Robeson County, NC"	"37155"	16	132606	Unreliable	0.0%
	"Rockingham County, NC"	"37157"	18	90949	Unreliable	0.0%
	"Rowan County, NC"	"37159"	60	140644	42.7	0.1%
	"Rutherford County, NC"	"37161"	18	66551	Unreliable	0.0%
	"Stanly County, NC"	"37167"	12	61482	Unreliable	0.0%
	"Stokes County, NC"	"37169"	19	45717	Unreliable	0.0%
	"Surry County, NC"	"37171"	14	72224	Unreliable	0.0%
	"Union County, NC"	"37179"	29	231366	12.5	0.1%
	"Vance County, NC"	"37181"	14	44211	Unreliable	0.0%
	"Wake County, NC"	"37183"	118	1072203	11.0	0.2%
	"Wayne County, NC"	"37191"	20	124172	16.1	0.0%
	"Wilkes County, NC"	"37193"	14	68576	Unreliable	0.0%
	"Wilson County, NC"	"37195"	11	81671	Unreliable	0.0%
	"Cass County, ND"	"38017"	11	177787	Unreliable	0.0%
	"Adams County, OH"	"39001"	14	27726	Unreliable	0.0%
	"Allen County, OH"	"39003"	33	103198	32.0	0.1%
	"Ashtabula County, OH"	"39007"	35	97807	35.8	0.1%
	"Brown County, OH"	"39015"	21	43576	48.2	0.0%
	"Butler County, OH"	"39017"	235	380604	61.7	0.5%
	"Champaign County, OH"	"39021"	16	38840	Unreliable	0.0%
	"Clark County, OH"	"39023"	86	134557	63.9	0.2%
	"Clermont County, OH"	"39025"	83	204214	40.6	0.2%
	"Clinton County, OH"	"39027"	28	42009	66.7	0.1%
	"Columbiana County, OH"	"39029"	14	103077	Unreliable	0.0%
	"Crawford County, OH"	"39033"	18	41746	Unreliable	0.0%
	"Cuyahoga County, OH"	"39035"	522	1248514	41.8	1.1%
	"Darke County, OH"	"39037"	27	51536	52.4	0.1%
	"Delaware County, OH"	"39041"	27	200464	13.5	0.1%
	"Erie County, OH"	"39043"	25	74817	33.4	0.1%
	"Fairfield County, OH"	"39045"	39	154733	25.2	0.1%
	"Fayette County, OH"	"39047"	28	28752	97.4	0.1%
	"Franklin County, OH"	"39049"	405	1291981	31.3	0.9%
	"Gallia County, OH"	"39053"	18	29973	Unreliable	0.0%
	"Geauga County, OH"	"39055"	24	93918	25.6	0.1%
	"Greene County, OH"	"39057"	57	166752	34.2	0.1%
	"Hamilton County, OH"	"39061"	424	813822	52.1	0.9%
	"Hancock County, OH"	"39063"	30	75754	39.6	0.1%
	"Highland County, OH"	"39071"	26	42971	60.5	0.1%
	"Huron County, OH"	"39077"	27	58494	46.2	0.1%
	"Jefferson County, OH"	"39081"	17	66359	Unreliable	0.0%
	"Knox County, OH"	"39083"	12	61261	Unreliable	0.0%
	"Lake County, OH"	"39085"	87	230117	37.8	0.2%
	"Lawrence County, OH"	"39087"	29	60249	48.1	0.1%
	"Licking County, OH"	"39089"	27	173448	15.6	0.1%
	"Logan County, OH"	"39091"	17	45325	Unreliable	0.0%
	"Lorain County, OH"	"39093"	109	307924	35.4	0.2%
	"Lucas County, OH"	"39095"	137	430887	31.8	0.3%
	"Madison County, OH"	"39097"	16	44036	Unreliable	0.0%
	"Mahoning County, OH"	"39099"	101	229796	44.0	0.2%
	"Marion County, OH"	"39101"	29	64967	44.6	0.1%
	"Medina County, OH"	"39103"	32	178371	17.9	0.1%
	"Miami County, OH"	"39109"	41	105122	39.0	0.1%
	"Montgomery County, OH"	"39113"	472	531542	88.8	1.0%
	"Pike County, OH"	"39131"	15	28270	Unreliable	0.0%
	"Portage County, OH"	"39133"	31	162277	19.1	0.1%
	"Preble County, OH"	"39135"	25	41120	60.8	0.1%
	"Richland County, OH"	"39139"	47	120589	39.0	0.1%
	"Ross County, OH"	"39141"	24	77313	31.0	0.1%
	"Sandusky County, OH"	"39143"	16	59195	Unreliable	0.0%
	"Scioto County, OH"	"39145"	34	75929	44.8	0.1%
	"Seneca County, OH"	"39147"	16	55243	Unreliable	0.0%
	"Shelby County, OH"	"39149"	24	48759	49.2	0.1%
	"Stark County, OH"	"39151"	90	372542	24.2	0.2%
	"Summit County, OH"	"39153"	189	541228	34.9	0.4%
	"Trumbull County, OH"	"39155"	112	200380	55.9	0.2%
	"Tuscarawas County, OH"	"39157"	21	92297	22.8	0.0%
	"Union County, OH"	"39159"	10	56741	Unreliable	0.0%
	"Warren County, OH"	"39165"	80	228882	35.0	0.2%
	"Washington County, OH"	"39167"	10	60418	Unreliable	0.0%
	"Wayne County, OH"	"39169"	17	116038	Unreliable	0.0%
	"Wood County, OH"	"39173"	14	130492	Unreliable	0.0%
	"Cleveland County, OK"	"40027"	17	279641	Unreliable	0.0%
	"Oklahoma County, OK"	"40109"	72	787958	9.1	0.2%
	"Tulsa County, OK"	"40143"	80	646266	12.4	0.2%
	"Wagoner County, OK"	"40145"	12	78657	Unreliable	0.0%
	"Clackamas County, OR"	"41005"	30	412672	7.3	0.1%
	"Josephine County, OR"	"41033"	15	86352	Unreliable	0.0%
	"Lane County, OR"	"41039"	46	374748	12.3	0.1%
	"Marion County, OR"	"41047"	26	341286	7.6	0.1%
	"Multnomah County, OR"	"41051"	107	807555	13.2	0.2%
	"Washington County, OR"	"41067"	34	588957	5.8	0.1%
	"Allegheny County, PA"	"42003"	664	1223048	54.3	1.4%
	"Beaver County, PA"	"42007"	50	166140	30.1	0.1%
	"Berks County, PA"	"42011"	86	417854	20.6	0.2%
	"Blair County, PA"	"42013"	17	123457	Unreliable	0.0%
	"Bucks County, PA"	"42017"	114	628341	18.1	0.2%
	"Butler County, PA"	"42019"	81	187108	43.3	0.2%
	"Cambria County, PA"	"42021"	22	133054	16.5	0.0%
	"Carbon County, PA"	"42025"	10	63853	Unreliable	0.0%
	"Centre County, PA"	"42027"	11	162660	Unreliable	0.0%
	"Chester County, PA"	"42029"	65	519293	12.5	0.1%
	"Crawford County, PA"	"42039"	18	86159	Unreliable	0.0%
	"Cumberland County, PA"	"42041"	38	250066	15.2	0.1%
	"Dauphin County, PA"	"42043"	25	275710	9.1	0.1%
	"Delaware County, PA"	"42045"	171	564696	30.3	0.4%
	"Erie County, PA"	"42049"	95	274541	34.6	0.2%
	"Fayette County, PA"	"42051"	37	131504	28.1	0.1%
	"Franklin County, PA"	"42055"	21	154234	13.6	0.0%
	"Huntingdon County, PA"	"42061"	12	45491	Unreliable	0.0%
	"Indiana County, PA"	"42063"	16	84953	Unreliable	0.0%
	"Lackawanna County, PA"	"42069"	66	210761	31.3	0.1%
	"Lancaster County, PA"	"42071"	48	542903	8.8	0.1%
	"Lawrence County, PA"	"42073"	46	87069	52.8	0.1%
	"Lehigh County, PA"	"42077"	38	366494	10.4	0.1%
	"Luzerne County, PA"	"42079"	35	317343	11.0	0.1%
	"Mercer County, PA"	"42085"	19	111750	Unreliable	0.0%
	"Monroe County, PA"	"42089"	20	168046	11.9	0.0%
	"Montgomery County, PA"	"42091"	157	826075	19.0	0.3%
	"Northampton County, PA"	"42095"	86	303405	28.3	0.2%
	"Northumberland County, PA"	"42097"	20	92029	21.7	0.0%
	"Philadelphia County, PA"	"42101"	46	1580863	2.9	0.1%
	"Pike County, PA"	"42103"	16	55691	Unreliable	0.0%
	"Schuylkill County, PA"	"42107"	25	142569	17.5	0.1%
	"Somerset County, PA"	"42111"	13	74501	Unreliable	0.0%
	"Washington County, PA"	"42125"	101	207298	48.7	0.2%
	"Wayne County, PA"	"42127"	13	51205	Unreliable	0.0%
	"Westmoreland County, PA"	"42129"	21	352627	6.0	0.0%
	"York County, PA"	"42133"	72	446078	16.1	0.2%
	"Kent County, RI"	"44003"	36	163760	22.0	0.1%
	"Newport County, RI"	"44005"	23	83460	27.6	0.0%
	"Providence County, RI"	"44007"	182	637357	28.6	0.4%
	"Washington County, RI"	"44009"	25	126150	19.8	0.1%
	"Aiken County, SC"	"45003"	37	168179	22.0	0.1%
	"Anderson County, SC"	"45007"	23	198759	11.6	0.0%
	"Beaufort County, SC"	"45013"	21	186844	11.2	0.0%
	"Berkeley County, SC"	"45015"	34	217937	15.6	0.1%
	"Charleston County, SC"	"45019"	68	401438	16.9	0.1%
	"Dorchester County, SC"	"45035"	19	156456	Unreliable	0.0%
	"Florence County, SC"	"45041"	26	138566	18.8	0.1%
	"Georgetown County, SC"	"45043"	11	61607	Unreliable	0.0%
	"Greenville County, SC"	"45045"	70	506837	13.8	0.1%
	"Greenwood County, SC"	"45047"	14	70355	Unreliable	0.0%
	"Horry County, SC"	"45051"	65	333268	19.5	0.1%
	"Lancaster County, SC"	"45057"	28	92550	30.3	0.1%
	"Lexington County, SC"	"45063"	38	290642	13.1	0.1%
	"Oconee County, SC"	"45073"	19	77270	Unreliable	0.0%
	"Pickens County, SC"	"45077"	24	123479	19.4	0.1%
	"Richland County, SC"	"45079"	64	411592	15.5	0.1%
	"Spartanburg County, SC"	"45083"	59	306854	19.2	0.1%
	"York County, SC"	"45091"	45	266439	16.9	0.1%
	"Anderson County, TN"	"47001"	34	76257	44.6	0.1%
	"Blount County, TN"	"47009"	27	129929	20.8	0.1%
	"Bradley County, TN"	"47011"	13	105560	Unreliable	0.0%
	"Carter County, TN"	"47019"	16	56488	Unreliable	0.0%
	"Cheatham County, TN"	"47021"	24	40330	59.5	0.1%
	"Coffee County, TN"	"47031"	12	55034	Unreliable	0.0%
	"Davidson County, TN"	"47037"	182	691243	26.3	0.4%
	"Greene County, TN"	"47059"	17	68808	Unreliable	0.0%
	"Hamilton County, TN"	"47065"	60	361613	16.6	0.1%
	"Knox County, TN"	"47093"	202	461860	43.7	0.4%
	"Loudon County, TN"	"47105"	15	52152	Unreliable	0.0%
	"Maury County, TN"	"47119"	12	92163	Unreliable	0.0%
	"Montgomery County, TN"	"47125"	20	200182	10.0	0.0%
	"Roane County, TN"	"47145"	13	53036	Unreliable	0.0%
	"Robertson County, TN"	"47147"	15	70177	Unreliable	0.0%
	"Rutherford County, TN"	"47149"	49	317157	15.4	0.1%
	"Sevier County, TN"	"47155"	25	97638	25.6	0.1%
	"Shelby County, TN"	"47157"	160	936961	17.1	0.3%
	"Sullivan County, TN"	"47163"	31	157158	19.7	0.1%
	"Sumner County, TN"	"47165"	25	183545	13.6	0.1%
	"Tipton County, TN"	"47167"	12	61366	Unreliable	0.0%
	"Washington County, TN"	"47179"	25	127806	19.6	0.1%
	"Williamson County, TN"	"47187"	24	226257	10.6	0.1%
	"Wilson County, TN"	"47189"	25	136442	18.3	0.1%
	"Bell County, TX"	"48027"	20	347833	5.7	0.0%
	"Bexar County, TX"	"48029"	98	1958578	5.0	0.2%
	"Brazoria County, TX"	"48039"	12	362457	Unreliable	0.0%
	"Collin County, TX"	"48085"	38	969603	3.9	0.1%
	"Dallas County, TX"	"48113"	169	2618148	6.5	0.4%
	"Denton County, TX"	"48121"	42	836210	5.0	0.1%
	"Ector County, TX"	"48135"	12	157087	Unreliable	0.0%
	"El Paso County, TX"	"48141"	45	840410	5.4	0.1%
	"Fort Bend County, TX"	"48157"	20	764828	2.6	0.0%
	"Galveston County, TX"	"48167"	26	335036	7.8	0.1%
	"Harris County, TX"	"48201"	280	4652980	6.0	0.6%
	"Jefferson County, TX"	"48245"	11	256299	Unreliable	0.0%
	"Johnson County, TX"	"48251"	12	167301	Unreliable	0.0%
	"Lubbock County, TX"	"48303"	22	305225	7.2	0.0%
	"Montgomery County, TX"	"48339"	59	570934	10.3	0.1%
	"Nueces County, TX"	"48355"	38	361221	10.5	0.1%
	"Randall County, TX"	"48381"	10	134442	Unreliable	0.0%
	"Tarrant County, TX"	"48439"	110	2054475	5.4	0.2%
	"Travis County, TX"	"48453"	96	1226698	7.8	0.2%
	"Webb County, TX"	"48479"	27	274794	9.8	0.1%
	"Williamson County, TX"	"48491"	16	547545	Unreliable	0.0%
	"Cache County, UT"	"49005"	11	124438	Unreliable	0.0%
	"Davis County, UT"	"49011"	37	347637	10.6	0.1%
	"Salt Lake County, UT"	"49035"	189	1135649	16.6	0.4%
	"Tooele County, UT"	"49045"	13	67456	Unreliable	0.0%
	"Utah County, UT"	"49049"	82	606425	13.5	0.2%
	"Washington County, UT"	"49053"	27	165662	16.3	0.1%
	"Weber County, UT"	"49057"	42	251769	16.7	0.1%
	"Chittenden County, VT"	"50007"	31	162372	19.1	0.1%
	"Franklin County, VT"	"50011"	10	49025	Unreliable	0.0%
	"Rutland County, VT"	"50021"	11	59087	Unreliable	0.0%
	"Washington County, VT"	"50023"	12	58290	Unreliable	0.0%
	"Windham County, VT"	"50025"	16	42869	Unreliable	0.0%
	"Windsor County, VT"	"50027"	12	55100	Unreliable	0.0%
	"Arlington County, VA"	"51013"	16	234965	Unreliable	0.0%
	"Augusta County, VA"	"51015"	12	75144	Unreliable	0.0%
	"Bedford County, VA"	"51019"	13	77974	Unreliable	0.0%
	"Chesterfield County, VA"	"51041"	62	343599	18.0	0.1%
	"Culpeper County, VA"	"51047"	22	51282	42.9	0.0%
	"Fairfax County, VA"	"51059"	107	1148433	9.3	0.2%
	"Fauquier County, VA"	"51061"	16	69465	Unreliable	0.0%
	"Frederick County, VA"	"51069"	17	86484	Unreliable	0.0%
	"Hanover County, VA"	"51085"	20	105923	18.9	0.0%
	"Henrico County, VA"	"51087"	60	327898	18.3	0.1%
	"King George County, VA"	"51099"	10	26337	Unreliable	0.0%
	"Loudoun County, VA"	"51107"	24	398080	6.0	0.1%
	"Montgomery County, VA"	"51121"	11	98559	Unreliable	0.0%
	"Prince William County, VA"	"51153"	59	463023	12.7	0.1%
	"Roanoke County, VA"	"51161"	18	93730	Unreliable	0.0%
	"Spotsylvania County, VA"	"51177"	19	133033	Unreliable	0.0%
	"Stafford County, VA"	"51179"	16	146649	Unreliable	0.0%
	"Tazewell County, VA"	"51185"	11	41095	Unreliable	0.0%
	"Warren County, VA"	"51187"	16	39563	Unreliable	0.0%
	"Wise County, VA"	"51195"	13	38586	Unreliable	0.0%
	"Alexandria city, VA"	"51510"	12	160035	Unreliable	0.0%
	"Bedford city, VA"	"51515"	Missing	Missing	Missing	Missing
	"Chesapeake city, VA"	"51550"	36	240397	15.0	0.1%
	"Clifton Forge city, VA"	"51560"	Missing	Missing	Missing	Missing
	"Hampton city, VA"	"51650"	16	134669	Unreliable	0.0%
	"Hopewell city, VA"	"51670"	10	22621	Unreliable	0.0%
	"Newport News city, VA"	"51700"	26	179388	14.5	0.1%
	"Norfolk city, VA"	"51710"	52	244703	21.3	0.1%
	"Petersburg city, VA"	"51730"	10	31750	Unreliable	0.0%
	"Portsmouth city, VA"	"51740"	19	94572	Unreliable	0.0%
	"Richmond city, VA"	"51760"	68	227032	30.0	0.1%
	"Roanoke city, VA"	"51770"	39	99837	39.1	0.1%
	"Virginia Beach city, VA"	"51810"	56	450435	12.4	0.1%
	"Benton County, WA"	"53005"	20	198171	10.1	0.0%
	"Clark County, WA"	"53011"	37	474643	7.8	0.1%
	"Cowlitz County, WA"	"53015"	13	106910	Unreliable	0.0%
	"Grays Harbor County, WA"	"53027"	15	72697	Unreliable	0.0%
	"Island County, WA"	"53029"	12	83159	Unreliable	0.0%
	"King County, WA"	"53033"	247	2188649	11.3	0.5%
	"Kitsap County, WA"	"53035"	23	266414	8.6	0.0%
	"Pierce County, WA"	"53053"	101	876764	11.5	0.2%
	"Skagit County, WA"	"53057"	14	125619	Unreliable	0.0%
	"Snohomish County, WA"	"53061"	100	801633	12.5	0.2%
	"Spokane County, WA"	"53063"	30	506152	5.9	0.1%
	"Thurston County, WA"	"53067"	16	280588	Unreliable	0.0%
	"Walla Walla County, WA"	"53071"	11	60567	Unreliable	0.0%
	"Whatcom County, WA"	"53073"	14	221404	Unreliable	0.0%
	"Yakima County, WA"	"53077"	24	250193	9.6	0.1%
	"Berkeley County, WV"	"54003"	86	114920	74.8	0.2%
	"Boone County, WV"	"54005"	13	22349	Unreliable	0.0%
	"Cabell County, WV"	"54011"	135	94958	142.2	0.3%
	"Fayette County, WV"	"54019"	27	43521	62.0	0.1%
	"Hampshire County, WV"	"54027"	12	23471	Unreliable	0.0%
	"Hancock County, WV"	"54029"	12	29448	Unreliable	0.0%
	"Harrison County, WV"	"54033"	17	67811	Unreliable	0.0%
	"Jefferson County, WV"	"54037"	24	56338	42.6	0.1%
	"Kanawha County, WV"	"54039"	98	183293	53.5	0.2%
	"Lincoln County, WV"	"54043"	18	20825	Unreliable	0.0%
	"Logan County, WV"	"54045"	33	32925	100.2	0.1%
	"McDowell County, WV"	"54047"	10	18456	Unreliable	0.0%
	"Mason County, WV"	"54053"	15	26801	Unreliable	0.0%
	"Mercer County, WV"	"54055"	28	59753	46.9	0.1%
	"Mingo County, WV"	"54059"	16	24127	Unreliable	0.0%
	"Monongalia County, WV"	"54061"	28	105030	26.7	0.1%
	"Morgan County, WV"	"54065"	13	17686	Unreliable	0.0%
	"Ohio County, WV"	"54069"	15	42035	Unreliable	0.0%
	"Putnam County, WV"	"54079"	29	56792	51.1	0.1%
	"Raleigh County, WV"	"54081"	53	75022	70.6	0.1%
	"Wayne County, WV"	"54099"	47	40153	117.1	0.1%
	"Wood County, WV"	"54107"	15	85104	Unreliable	0.0%
	"Brown County, WI"	"55009"	30	262052	11.4	0.1%
	"Columbia County, WI"	"55021"	10	57248	Unreliable	0.0%
	"Dane County, WI"	"55025"	89	536416	16.6	0.2%
	"Dodge County, WI"	"55027"	15	87786	Unreliable	0.0%
	"Jefferson County, WI"	"55055"	18	84832	Unreliable	0.0%
	"Kenosha County, WI"	"55059"	46	168521	27.3	0.1%
	"La Crosse County, WI"	"55063"	19	118274	Unreliable	0.0%
	"Marathon County, WI"	"55073"	14	135732	Unreliable	0.0%
	"Milwaukee County, WI"	"55079"	305	952085	32.0	0.6%
	"Outagamie County, WI"	"55087"	18	186059	Unreliable	0.0%
	"Ozaukee County, WI"	"55089"	11	88429	Unreliable	0.0%
	"Racine County, WI"	"55101"	45	196071	23.0	0.1%
	"Rock County, WI"	"55105"	37	162309	22.8	0.1%
	"Sheboygan County, WI"	"55117"	18	115344	Unreliable	0.0%
	"Walworth County, WI"	"55127"	12	103082	Unreliable	0.0%
	"Washington County, WI"	"55131"	21	135101	15.5	0.0%
	"Waukesha County, WI"	"55133"	63	400621	15.7	0.1%
	"Winnebago County, WI"	"55139"	23	170414	13.5	0.0%
"Total"			47576	325719178	14.6	100.0%
"---"
"Dataset: Multiple Cause of Death, 1999-2017"
"Query Parameters:"
"MCD - ICD-10 Codes: T40.0 (Opium); T40.1 (Heroin); T40.2 (Other opioids); T40.3 (Methadone); T40.4 (Other synthetic narcotics)"
"Year/Month: 2017"
"Group By: County"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Mar 4, 2019 10:35:45 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Multiple Cause of Death"
"1999-2017 on CDC WONDER Online Database, released December, 2018. Data are from the Multiple Cause of Death Files, 1999-2017, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/mcd-icd10.html on Mar 4, 2019 10:35:45 PM"
"---"
Messages:
"1. Rows with suppressed Deaths are hidden, but the Deaths and Population values in those rows are included in the totals. Use"
"Quick Options above to show suppressed rows."
"---"
Footnotes:
"1. Data are not available for this area for all of the requested years. See Caveats below for more information."
"---"
Caveats:
"1. Data for Prince of Wales-Outer Ketchikan Census Area, AK (FIPS code 02201), Skagway-Hoonah-Angoon Census Area, AK (FIPS code"
"02232) and Wrangell-Petersburg Census Area, AK (FIPS code 02280) are only available for 2013 and earlier; for computational"
"purposes, counts and population estimates for 2014 and later are set to zero. Thus, counts and rates shown in multi-year"
"requests for this entity do not include any data for years after 2013, only data for 2013 and earlier. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Alaska2014."
"2. Data for Bedford city, Va. (FIPS code 51515) are only available for 2013 and earlier; for computational purposes, counts and"
"population estimates for 2014 and later are set to zero. Thus, counts and rates shown in multi-year requests for this entity do"
"not include any data for years after 2014, only data for 2013 and earlier. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Bedford."
"3. Death rates for Clifton Forge city, Virginia (FIPS code 51560) are available only for 1999-2000. For 2001 and beyond, death"
"counts and population estimates for Clifton Forge city have been combined with those for Alleghany county, Virginia (FIPS code"
"51005). Death counts and population estimates for this entity from multi-year requests, only reflect data from 1999 and 2000;"
"for 2001 and beyond they have been set to zero. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Clifton Forge."
"4. Deaths and population estimates are shown separately from the adjacent counties for Carson City, Nevada (FIPS code 32510)."
"5. Deaths and population estimates are reported separately for Baltimore City (FIPS code 24510) and Baltimore county (FIPS code"
"24005)."
"6. Deaths and population estimates are reported separately for St. Louis City (FIPS code 29510) and county (FIPS code 29189)."
"7. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Assurance of Confidentiality."
"8. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Unreliable."
"9. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the Vintage 2017"
"postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The population figures for"
"year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal series released by NCHS"
"on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26, 2014. The"
"population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012 postcensal"
"series released by NCHS on June 13, 2013. Population figures for 2011 are bridged-race estimates of the July 1 resident"
"population, from the county-level postcensal Vintage 2011 series released by NCHS on July 18, 2012. Population figures for 2010"
"are April 1 Census counts. The population figures for years 2001 - 2009, are bridged-race estimates of the July 1 resident"
"population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population"
"figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of July 1"
"estimates. Population figures for Infant Age Groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
"10. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group."
"11. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#ICD-10 Changes."