Year,"Cook County, IL","Genesee County, MI","Lake County, IN","Mahoning County, OH","Mohave County, AZ","Richland County, OH","Saginaw County, MI","Trumbull County, OH","Wayne County, MI"
2006,57,0,0,11,0,0,0,14,163
2007,71,0,0,12,0,0,0,28,88
2008,68,66,11,17,15,0,0,11,136
2009,69,65,11,0,43,0,0,0,153
2010,71,94,0,28,49,0,0,22,112
2011,44,90,0,41,36,0,0,32,104
2012,104,69,16,43,27,0,0,11,145
2013,427,45,29,44,30,19,0,30,234
2014,442,38,24,42,26,17,0,51,250
2015,488,35,23,55,22,23,0,70,367
2016,737,105,40,66,12,37,21,42,401
2017,936,109,87,57,0,0,12,41,448